"Nome colore","Codice"
"Panna","#fff8e6"
"Bianco","#fafafa"
"Stracciatella","#f5f0dd"
"Crema","#f5d97a"
"Crema chiara","#e6c79c"
"Limone","#f5e26a"
"Sabbia","#d9b384"
"Biscotto","#c89968"
"Caramello","#c8842b"
"Arancio","#eb911e"
"Mango","#f3a72d"
"Pistacchio","#7ea15a"
"Pistacchio chiaro","#9bb678"
"Verde acqua","#a5cdcb"
"Verde menta scuro","#1e3a2b"
"Nocciola","#8a5a3b"
"Nocciola scura","#7a4a2e"
"Cioccolato al latte","#6b4226"
"Gianduia","#5a3520"
"Caffè","#4a2e1f"
"Cioccolato scuro","#3a2418"
"Cioccolato fondente","#2a160e"
"Frutti rossi","#c94a6b"
"Fragola","#e84a6e"
"Rosa","#f3a3c2"
"Viola Punto G","#b651e4"
"Viola scuro","#602e9e"
