"Nome","Categoria","Colore","Tag","In vetrina","Ordine"
"Fior di latte","Creme","Panna","","true","10"
"Crema","Creme","Crema","","true","20"
"After Eight","Creme","Verde menta scuro","","true","30"
"Yogurt bianco","Creme","Bianco","","true","40"
"Stracciatella","Creme","Stracciatella","","true","50"
"Cheesecake ai frutti rossi","Creme","Frutti rossi","","true","60"
"Spagnola","Creme","Sabbia","","true","70"
"Pino pinguino","Creme","Cioccolato scuro","","true","80"
"Nocciola","Creme","Nocciola","","true","90"
"Rocher","Creme","Gianduia","","true","100"
"Nutella","Creme","Cioccolato scuro","","true","110"
"Cioccolato al latte","Creme","Cioccolato al latte","","true","120"
"Caramello salato","Creme","Caramello","","true","130"
"Super Kinder","Creme","Crema chiara","","true","140"
"Bacio","Creme","Cioccolato scuro","","true","150"
"Caffè","Creme","Caffè","","true","160"
"Biscotto","Creme","Biscotto","","true","170"
"Pistacchio","Creme","Pistacchio","","true","180"
"Punto Gi","Creme","Viola Punto G","firma","true","190"
"Duplo","Creme","Nocciola scura","","true","200"
"Cremino al Pistacchio","Creme","Pistacchio chiaro","","true","210"
"Cioccolato fondente","Creme","Cioccolato fondente","","true","220"
"Fragola","Frutta & Veggy","Fragola","","true","10"
"Limone","Frutta & Veggy","Limone","","true","20"
"Mango","Frutta & Veggy","Mango","","true","30"
"Cocco","Frutta & Veggy","Bianco","","true","40"
"Pistacchio Veg","Frutta & Veggy","Pistacchio","vegan","true","50"
"Nocciola Veg","Frutta & Veggy","Nocciola","vegan","true","60"
"Giovanna","Semifreddi","Crema chiara","","true","10"
"Millefoglie","Semifreddi","Panna","","true","20"
"Pasticcini","Altre Leccornie","Rosa","","true","10"
"Salame dolce","Altre Leccornie","Gianduia","","true","20"
"Torte gelato","Altre Leccornie","Viola Punto G","","true","30"
"Torte semifreddo","Altre Leccornie","Verde acqua","","true","40"
"Monoporzioni","Altre Leccornie","Arancio","","true","50"
"Prodotti stagionali","Altre Leccornie","Pistacchio","stagione","true","60"
